Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Month,6,2258,3049,74.05706789111184
Month,7,496,714,69.46778711484593
Month,8,264,374,70.58823529411765
Month,9,2519,3346,75.28392109982069
Overall,All,371395,481765,77.09049017674592
Winner Deviation,0-50,1967,2273,86.53761548614166
Winner Deviation,101-150,114990,149346,76.99570125748264
Winner Deviation,151-200,66845,89047,75.06709939694768
Winner Deviation,201-250,35808,50157,71.39182965488367
Winner Deviation,251-300,8916,14429,61.79222399334673
Winner Deviation,301-350,1490,2491,59.81533520674428
Winner Deviation,350+,6824,9088,75.08802816901408
Winner Deviation,51-100,134555,164934,81.581117295403
Winner Rating Periods,0,31356,33924,92.43013795542979
Winner Rating Periods,1,16329,22258,73.3623865576422
Winner Rating Periods,10+,230374,302436,76.17281011519793
Winner Rating Periods,2,14670,19543,75.0652407511641
Winner Rating Periods,3,12765,17045,74.88999706658845
Winner Rating Periods,4,12780,16986,75.23843164959378
Winner Rating Periods,5,11948,15644,76.37432881615955
Winner Rating Periods,6,11031,14309,77.0913411139842
Winner Rating Periods,7,11097,14417,76.97163071374072
Winner Rating Periods,8,10288,13825,74.41591320072332
Winner Rating Periods,9,8757,11378,76.96431710318159
